Id,Title,Series
SoA1,The warriors teen Part I: Son of Asgard,Son of Asgard
SoA2,The warriors teen Part II: The heat of Hakurei,Son of Asgard
SoA3,The warriors teen Part III: The nest of Gnori,Son of Asgard
SoA4,The warriors teen Part IV: The jaws of Jennia,Son of Asgard
SoA5,The warriors teen Part V: The lake of Lilitha,Son of Asgard
SoA6,The warriors teen Part VI: The trio triumphant,Son of Asgard
SoA7,Enchanted Part I,Son of Asgard
SoA8,Enchanted Part II: The trio triumphant,Son of Asgard
SoA9,Enchanted Part III,Son of Asgard
SoA10,Worthy Part I,Son of Asgard
SoA11,Worthy Part II,Son of Asgard
SoA12,Worthy Part III,Son of Asgard
JiMAnnual/The mighty Thor - One Shot,Thor: Scrier's game,Journey into Mystery -  Thor
JiM-1/Flashback,Loki Thriumphant!,Journey into Mystery -  Thor
JiM1/1,One foot in the grave,Journey into Mystery -  Thor
JiM1/2,The clutching hands,Journey into Mystery -  Thor
JiM1/3,Haunted!,Journey into Mystery -  Thor
JiM1/4,It can't miss,Journey into Mystery -  Thor
JiM1/5,Iron-head,Journey into Mystery -  Thor
JiM2/1,The scarecrow,Journey into Mystery -  Thor
JiM2/2,Don't look,Journey into Mystery -  Thor
JiM2/3,How clumsy can ya be,Journey into Mystery -  Thor
JiM2/4,Thru the door,Journey into Mystery -  Thor
JiM2/5,The hiding place,Journey into Mystery -  Thor
JiM3/1,Hands off!,Journey into Mystery -  Thor
JiM3/2,The corps,Journey into Mystery -  Thor
JiM3/3,I didn't see a thing,Journey into Mystery -  Thor
JiM3/4,The stroke of midnight,Journey into Mystery -  Thor
JiM4/1,The bewitched bike!,Journey into Mystery -  Thor
JiM4/2,Death waits within!,Journey into Mystery -  Thor
JiM4/3,The locked door!,Journey into Mystery -  Thor
JiM4/4,I'm drowning!,Journey into Mystery -  Thor
JiM4/5,Hiding place,Journey into Mystery -  Thor
JiM5/1,Fright!,Journey into Mystery -  Thor
JiM5/2,Zombie!,Journey into Mystery -  Thor
JiM5/3,Condemned!,Journey into Mystery -  Thor
JiM5/4,Innocent bystander,Journey into Mystery -  Thor
JiM6/1,Death!,Journey into Mystery -  Thor
JiM6/2,Wings of the vampire!,Journey into Mystery -  Thor
JiM6/3,The perfect specimen!,Journey into Mystery -  Thor
JiM6/4,The man who went back,Journey into Mystery -  Thor
JiM6/5,Till death do us part!,Journey into Mystery -  Thor
JiM7/1,Death of a puppet,Journey into Mystery -  Thor
JiM7/2,Ghost guard,Journey into Mystery -  Thor
JiM7/3,Paid in full,Journey into Mystery -  Thor
JiM7/4,High as a kite,Journey into Mystery -  Thor
JiM7/5,"It's murder, he says!",Journey into Mystery -  Thor
JiM8/1,The tough guy,Journey into Mystery -  Thor
